nome_orgao_superior,quantidade_passagens
 Advocacia-Geral da União                                        ,255
 Casa Civil da Presidência da República                          ,187
 Gabinete de Segurança Institucional da Presidência da República ,418
 Ministério da Fazenda                                           ,232
 Ministério da Gestão e da Inovação em Serviços Públicos         ,165
 Ministério da Igualdade Racial                                  ,55
 Ministério da Integração e do Desenvolvimento Regional          ,213
 Ministério das Cidades                                          ,257
 Ministério das Comunicações                                     ,92
 Ministério das Mulheres                                         ,104
 Ministério dos Direitos Humanos e da Cidadania                  ,1301
 Presidência da República                                        ,131
 Secretaria de Comunicação Social da Presidência da República    ,84
 Secretaria de Relações Institucionais                           ,288
 Secretaria-Geral da Presidência da República                    ,172
